lat,lng
39.8936685,-105.0721118
41.4123225,-73.31142358
35.0886963,-92.4421011
39.0875777,-81.9226372
30.421309,-87.2169149
43.5944677,-83.8888648
42.9633599,-85.6680863
36.145204,-115.1611806
36.145204,-115.1611806
34.7540524,-77.4302415
35.7973284,-82.6840252
41.6786754,-83.5127283
36.1631575,-82.8309861
35.1490215,-90.0516285
31.13,-97.78
40.644188,-111.9522491
36.2960613,-119.1420517
42.3486635,-83.0567375
29.7104586,-98.1460417
40.7911785,-73.97481894
40.7911785,-73.97481894
43.3099598,-73.6442514
37.541239,-77.4420183
36.5092119,-86.8849984
41.5927467,-87.3467803
33.3881705,-86.89975258
33.5228885,-85.3445728
33.361168,-112.1213022
35.1457415,-117.9579013
35.1457415,-117.9579013
36.7322115,-119.6997096
37.7789601,-122.419199
34.1494848,-118.5506158
29.5541432,-81.2207673
26.78912185,-80.06076403
41.8756208,-87.6243706
41.525031,-88.0817252
39.2909295,-76.6097684
42.3604823,-71.0595678
42.9633599,-85.6680863
37.9447722,-90.7242964
39.7391536,-104.9847034
39.9448436,-75.1198694
35.3314525,-80.93985542
41.4871888,-81.6778691
35.131317,-98.3797949
35.878937,-97.4253185
35.4707419,-97.5198806
36.219525,-96.03404332
40.2663107,-76.8861122
42.7261309,-87.7828523
34.0501713,-118.2419714
45.1473445,-122.5770322
36.0625905,-118.9829606
33.93820895,-118.187815
38.8951148,-77.0363716
34.180855,-84.7529171
41.8756208,-87.6243706
39.7989763,-89.6443688
39.0490111,-95.6775557
29.9499323,-90.0701156
39.00884145,-77.02054406
30.92853,-88.59797531
31.676052,-88.63439802
42.291707,-85.5872286
37.3058839,-89.5181476
38.6558849,-90.3092813
36.675805,-114.6208232
42.9956397,-71.4547891
39.9448436,-75.1198694
32.4206736,-104.2288375
36.3295905,-78.3991638
39.9622601,-83.0007065
38.8645138,-83.9040944
32.939636,-80.09821022
32.7801052,-96.8000082
26.2260035,-98.23731772
47.2061882,-122.2312383
34.0501713,-118.2419714
39.952335,-75.163789
39.952335,-75.163789
43.0349931,-87.922497
40.735657,-74.1723667
32.7801052,-96.8000082
42.6410915,-95.2097179
41.6021292,-87.3371372
41.4080534,-92.9163091
38.8951148,-77.0363716
30.3321838,-81.655651
28.5421175,-81.3790462
33.5442781,-84.2338093
41.8756208,-87.6243706
39.7683795,-86.1580447
42.9633599,-85.6680863
42.9633599,-85.6680863
44.9504037,-93.1015026
39.3187409,-94.4046405
39.0844687,-94.5630298
39.1014537,-84.5124602
39.9622601,-83.0007065
35.7017314,-96.8808582
39.849557,-75.3557458
41.0167508,-75.8971431
36.7282096,-76.5835703
41.5833658,-87.500043
29.9035387,-90.0772944
29.9519265,-95.54091698
39.2908608,-76.6108073
40.6501038,-73.9495823
39.868223,-74.29396641
39.3642852,-74.4229351
40.1529745,-105.0579688
40.1529745,-105.0579688
26.16839695,-80.20472221
28.8117179,-81.2680328
39.7683795,-86.1580447
38.40678,-75.0618486
42.6511674,-73.754968
36.0228734,-95.9683278
35.4707419,-97.5198806
40.2737002,-76.8844179
44.3683156,-100.3509665
32.5065765,-94.75150989
37.541239,-77.4420183
34.6182199,-79.0086425
34.6182199,-79.0086425
32.7801052,-96.8000082
34.8512316,-82.3985105
37.4792672,-82.5187629
42.3486635,-83.0567375
38.7382366,-120.6749302
37.8043808,-122.2708166
27.9014133,-81.5859099
33.9190653,-84.0167423
33.277089,-81.8944597
41.0799898,-85.1386015
41.5927467,-87.3467803
38.8962231,-76.9066399
38.6272733,-90.1978889
41.0814447,-81.5190053
35.2072185,-101.8338246
29.974286,-95.52667596
29.974286,-95.52667596
37.3859982,-77.578509
37.9476108,-76.7161921
36.9823709,-76.6310661
43.0349931,-87.922497
35.9698965,-88.45592509
40.742551,-84.1052256
41.8791979,-87.8431155
38.8035961,-76.9896573
37.4137536,-79.1422464
40.7606467,-111.89109
33.8872355,-112.071987
42.3486635,-83.0567375
42.3486635,-83.0567375
32.4640245,-86.4596966
32.2217429,-110.926479
39.8121058,-121.5783059
37.6688205,-122.0807964
37.636724,-120.9014852
38.5815719,-121.4943996
37.467443,-105.8682961
38.8951148,-77.0363716
28.51,-81.32
27.7708606,-82.6792661
41.4871888,-81.6778691
27.7708606,-82.6792661
41.4194058,-87.9994754
32.5221828,-93.7651944
38.803929,-76.8518695
42.9633599,-85.6680863
34.9433635,-88.51732381
42.0986867,-75.9179738
42.8864468,-78.8783689
40.7498243,-73.7976337
